Customer_Size,Algorithm,Instances,Avg_Loss,Std_Loss
100,ALNS-SA,56,3322.31,1833.00
100,ALNS-Greedy,56,3329.57,1830.46
100,TS (tenure=0),56,3468.06,1862.66
100,TS (tenure=5),56,3468.43,1863.17
400,ALNS-SA,60,40459.03,14507.19
400,ALNS-Greedy,60,38529.12,15927.99
400,TS (tenure=0),60,49910.36,17430.99
400,TS (tenure=5),60,49870.16,17423.54
800,ALNS-SA,60,151892.96,31468.98
800,ALNS-Greedy,60,130806.24,32859.48
800,TS (tenure=0),60,183021.15,33809.92
800,TS (tenure=5),60,183035.75,33753.50
1000,ALNS-SA,60,230964.81,38544.04
1000,ALNS-Greedy,60,198165.36,46728.57
1000,TS (tenure=0),60,272079.68,44624.51
1000,TS (tenure=5),60,271996.63,44610.18
